,n_eval,hv_value
719,72000,0.3198939
720,72100,0.3198939
721,72200,0.3198942
722,72300,0.3198942
723,72400,0.3198945
724,72500,0.3198945
725,72600,0.3199418
726,72700,0.3199423
727,72800,0.3199423
728,72900,0.3199431
729,73000,0.3199432
730,73100,0.3199432
731,73200,0.3199432
732,73300,0.3199432
733,73400,0.3199432
734,73500,0.3199432
735,73600,0.3199432
736,73700,0.3199435
737,73800,0.3199435
738,73900,0.3199435
739,74000,0.3199435
740,74100,0.3199435
741,74200,0.3199435
742,74300,0.3199438
743,74400,0.3199846
744,74500,0.3199846
745,74600,0.319985
746,74700,0.3199851
747,74800,0.3199851
748,74900,0.3199898
749,75000,0.3199901
750,75100,0.3199901
751,75200,0.3199901
752,75300,0.3199901
753,75400,0.3199901
754,75500,0.3199901
755,75600,0.3199906
756,75700,0.3200072
757,75800,0.3200077
758,75900,0.3200077
759,76000,0.3200077
760,76100,0.3200077
761,76200,0.3200078
762,76300,0.3200088
763,76400,0.3200088
764,76500,0.3200088
765,76600,0.3200088
766,76700,0.3200088
767,76800,0.3200089
768,76900,0.3200089
769,77000,0.3200089
770,77100,0.3200089
771,77200,0.3200091
772,77300,0.3200091
773,77400,0.3200092
774,77500,0.3200092
775,77600,0.3200092
776,77700,0.3200092
777,77800,0.3200092
778,77900,0.3200092
779,78000,0.3200092
780,78100,0.3200092
781,78200,0.3200092
782,78300,0.3200094
783,78400,0.3200094
784,78500,0.3200094
785,78600,0.3200094
786,78700,0.3200094
787,78800,0.3200094
788,78900,0.3200095
789,79000,0.3200095
790,79100,0.3200096
791,79200,0.3200097
792,79300,0.3200098
793,79400,0.3200099
794,79500,0.3200099
795,79600,0.3200099
796,79700,0.3200099
797,79800,0.3200103
798,79900,0.3200104
799,80000,0.3200104
800,80100,0.3200104
801,80200,0.3200104
802,80300,0.3200104
803,80400,0.3200104
804,80500,0.3200104
805,80600,0.3200105
806,80700,0.3200105
807,80800,0.3200106
808,80900,0.3200106
809,81000,0.3200106
810,81100,0.3200106
811,81200,0.3200107
812,81300,0.320011
813,81400,0.320011
814,81500,0.3200111
815,81600,0.3200112
816,81700,0.3200121
817,81800,0.320013
818,81900,0.320013
819,82000,0.320013
820,82100,0.3200131
821,82200,0.3200143
822,82300,0.3200144
823,82400,0.3200144
824,82500,0.3200144
825,82600,0.3200144
826,82700,0.3200146
827,82800,0.3200146
828,82900,0.3200146
829,83000,0.3200146
830,83100,0.3200147
831,83200,0.3200147
832,83300,0.3200155
833,83400,0.3200156
834,83500,0.3200157
835,83600,0.3200157
836,83700,0.3200157
837,83800,0.3200157
838,83900,0.3200157
839,84000,0.320016
840,84100,0.320016
